Date/Time,a_x,a_y,a_z,w_x,w_y,w_z,Latitude,Longitude,Elevation,Pitch,Roll,Yaw,Pitch_accel_only,Roll_accel_only,Yaw_accel_only,Pitch_gyro_only,Roll_gyro_only,Yaw_gyro_only
13:03:20,0.018787999,0.034403998,0.018056,0.001713056,-0.001674265,-0.000122864,-22.20609455,-64.12718537,424581.4481,334.3064351,64.06645041,345.2191291,334.2608061,64.07120423,345.1857124,334.2606217,64.07088321,345.1866874
13:03:30,0.01952,0.035379998,0.015859999,0.000334509,0.000338629,0.001040339,-22.68899282,-63.69924055,424704.0048,334.270604,64.46071625,344.3514065,334.2656794,64.44790965,344.3654272,334.2647556,64.45001335,344.3664056
13:03:40,0.017568,0.034159999,0.018787999,-0.002103195,-0.000577085,0.000421526,-23.16606906,-63.27197189,424826.3035,334.2970539,64.23432963,344.0238751,334.3138783,64.31861417,344.0229632,334.3153827,64.31970017,344.0222068
13:03:50,0.020252001,0.035868,0.01708,-0.002400614,2.78E-05,0.001936791,-23.64690398,-62.83665767,424950.7564,334.545502,64.0248409,344.0682218,334.5112571,64.10055355,343.9689996,334.550582,64.06365687,344.0607615
13:04:00,0.01708,0.034892,0.017324001,0.000340097,-0.001202263,-0.000199664,-24.12122416,-62.40246576,425074.6589,334.4033231,63.92423905,343.312948,334.4026947,63.91583108,343.308814,334.4015336,63.91490901,343.309789
13:04:10,0.017811999,0.035379998,0.014152,0.002466384,0.001548424,0.000107005,-24.59502149,-61.96383917,425199.5151,333.9918059,64.07671619,342.5842778,334.0212662,64.07998102,342.5703169,334.0202349,64.07868328,342.5708974
13:04:20,0.018544,0.034648001,0.017811999,-0.000605997,0.000931621,-0.00079711,-25.06681757,-61.52200299,425324.8907,334.425779,64.12193887,342.1722295,334.4240186,64.15930684,342.1738517,334.4220856,64.16088461,342.1744579
13:04:30,0.018300001,0.033916,0.016592,0.000612833,-0.000594765,0.001336468,-25.54247149,-61.07124781,425452.3119,334.0906234,63.79180851,341.4128116,334.1020895,63.7718302,341.410812,334.1030082,63.76851073,341.4123659
13:04:40,0.01952,0.033427998,0.016104,0.001528151,0.001827523,0.000114378,-26.01033979,-60.62247747,425578.6101,334.403376,64.00788837,341.1753361,334.4175692,64.01870056,341.1590273,334.4187969,64.01959532,341.1611123
13:04:50,0.017568,0.033671997,0.019276001,7.04E-07,-0.001536265,-0.000497678,-26.4790869,-60.16729796,425706.0658,334.4048889,63.85677044,341.1518232,334.4067074,63.84379991,341.1468764,334.4070694,63.84340376,341.1453482
13:05:00,0.019276001,0.033183999,0.017324001,-0.000303339,0.000592932,0.001334717,-26.94475406,-59.70938469,425833.5588,334.1213831,63.78510126,340.3527167,334.1244721,63.76230892,340.3603118,334.1254676,63.76341541,340.3597398
13:05:10,0.019032,0.034892,0.017568,-0.001213297,0.002729647,0.000724411,-27.40665348,-59.24932696,425960.8444,334.3192981,63.84045312,339.5417598,334.3163509,63.84797998,339.5260777,334.3160059,63.84561674,339.5277613
13:05:20,0.01708,0.033916,0.013908,0.003066085,-0.00152418,-0.00019069,-27.86998047,-58.78177292,426089.3103,334.1511781,63.94050856,339.5492884,334.1475871,63.95817826,339.5416795,334.1470151,63.9561975,339.5379759
13:05:30,0.018056,0.034892,0.018056,0.00032324,0.00153894,-0.000496864,-28.33373187,-58.30746621,426218.6446,334.3245283,63.59510589,339.8963764,334.3009283,63.5828457,339.87056,334.303225,63.58290717,339.8679781
13:05:40,0.019763999,0.034648001,0.016592,0.000660043,0.000639535,-0.000200473,-28.7911323,-57.83321966,426346.9052,334.4855295,63.9001558,338.9159727,334.4126582,63.93104874,338.8799503,334.4130612,63.93091214,338.8797591
13:05:50,0.017811999,0.034892,0.01464,-0.001154788,0.000358216,-0.000206685,-29.24720005,-57.3537471,426475.4435,334.434269,63.78678832,338.0341526,334.415585,63.75769854,338.0322589,334.4179773,63.756353,338.0326278
13:06:00,0.01952,0.034403998,0.016592,0.002834488,-0.000244379,9.42E-05,-29.70180492,-56.86899286,426604.1783,333.8480014,63.80905474,337.8581164,333.8551355,63.79490941,337.866439,333.852359,63.78956138,337.8691301
13:06:10,0.01952,0.034648001,0.014884,-0.000203941,-0.000532761,-0.000216875,-30.15242677,-56.38150584,426732.3467,334.0961797,63.39083542,337.5689074,334.0568959,63.43704848,337.4650527,334.0560677,63.43817546,337.4667107
13:06:20,0.019763999,0.033183999,0.018300001,-0.000797562,0.002209887,-0.000221899,-30.60670413,-55.88275494,426862.0814,334.2885742,63.50353354,336.9714315,334.293217,63.50579434,336.9900131,334.2920098,63.50772045,336.9918692
13:06:30,0.019276001,0.036111999,0.016104,-0.001999408,-0.00233829,7.61E-05,-31.05189586,-55.38657908,426989.6955,334.3960728,63.61465389,336.394424,334.3823305,63.65247265,336.3779786,334.3836641,63.65060801,336.3747633
13:06:40,0.019276001,0.035135999,0.018056,0.002607856,-0.002292261,-0.000242429,-31.49841703,-54.88127149,427118.1229,333.8793383,63.68968352,336.0254589,333.9171878,63.65288246,336.0254623,333.9176813,63.65029382,336.0276582
13:06:50,0.019032,0.034648001,0.019276001,-0.002246257,-0.001340508,0.000656459,-31.94317977,-54.37003378,427246.4356,334.2542081,63.52536283,335.5859345,334.2360091,63.52457053,335.5884036,334.2331558,63.52112128,335.5893684
13:07:00,0.018056,0.034403998,0.016348001,-0.001296442,0.000208877,0.000335574,-32.38078134,-53.85900294,427373.0242,334.205765,63.79583149,335.6166686,334.2273313,63.80488832,335.6229507,334.2257928,63.80717643,335.624105
13:07:10,0.018787999,0.034159999,0.018056,-0.003704477,-0.000975326,0.001237515,-32.82206385,-53.33528611,427500.9812,334.4380034,63.18305424,335.3811261,334.449461,63.1467791,335.3712036,334.4502004,63.14507156,335.3760428
13:07:20,0.018300001,0.034648001,0.01952,-0.002156153,0.000270858,0.000311371,-33.25872644,-52.80842209,427627.8588,334.221389,63.48619852,335.010795,334.2659936,63.43783395,335.0330392,334.2663488,63.43053931,335.0359711
13:07:30,0.018056,0.034648001,0.017811999,-0.000305302,-0.000317588,0.000915037,-33.68923554,-52.28023124,427753.1626,334.0418831,62.77791474,334.84017,334.0410242,62.82577387,334.8381773,334.0400714,62.82407999,334.8395997
13:07:40,0.018544,0.035623997,0.016592,-0.000587169,0.079093069,0.000904759,-34.12104427,-51.74135324,427879.0183,334.0484691,63.02336442,334.7334893,334.0573791,62.99357796,334.7354001,334.055786,62.99358479,334.7362743
